state,isMetro,parent_count,child_count,needs_childcare,total_cost,median_family_income
1,True,1,0,0,39254.0532,73010.4140625
1,True,1,1,1,57194.3256,73010.4140625
1,True,1,2,1,76141.0308,73010.4140625
1,True,1,3,1,94203.5328,73010.4140625
1,True,1,4,1,100823.52,73010.4140625
1,True,2,0,0,55071.6684,73010.4140625
1,True,2,1,1,70773.6744,73010.4140625
1,True,2,2,1,89077.8696,73010.4140625
1,True,2,3,1,104640.1524,73010.4140625
1,True,2,4,1,111554.8596,73010.4140625
1,True,1,0,0,39578.8944,77884.7578125
1,True,1,1,1,55556.5956,77884.7578125
1,True,1,2,1,74988.9672,77884.7578125
1,True,1,3,1,93826.8756,77884.7578125
1,True,1,4,1,100699.524,77884.7578125
1,True,2,0,0,52941.5856,77884.7578125
1,True,2,1,1,70174.8576,77884.7578125
1,True,2,2,1,87567.2868,77884.7578125
1,True,2,3,1,104490.8316,77884.7578125
1,True,2,4,1,111728.7192,77884.7578125
1,False,1,0,0,34423.602,42822.75390625
1,False,1,1,1,47297.4288,42822.75390625
1,False,1,2,1,61337.8476,42822.75390625
1,False,1,3,1,73678.248,42822.75390625
1,False,1,4,1,79120.8168,42822.75390625
1,False,2,0,0,46845.492,42822.75390625
1,False,2,1,1,60343.7112,42822.75390625
1,False,2,2,1,73638.2052,42822.75390625
1,False,2,3,1,84708.5916,42822.75390625
1,False,2,4,1,90457.3884,42822.75390625
1,True,1,0,0,38571.75,59443.98828125
1,True,1,1,1,52312.9272,59443.98828125
1,True,1,2,1,69578.5728,59443.98828125
1,True,1,3,1,85127.244,59443.98828125
1,True,1,4,1,91170.768,59443.98828125
1,True,2,0,0,51898.272,59443.98828125
1,True,2,1,1,66115.8636,59443.98828125
1,True,2,2,1,81709.8984,59443.98828125
1,True,2,3,1,95418.6264,59443.98828125
1,True,2,4,1,101718.1752,59443.98828125
1,True,1,0,0,37547.3496,63966.12890625
1,True,1,1,1,50927.9412,63966.12890625
1,True,1,2,1,67920.7908,63966.12890625
