state,isMetro,parent_count,child_count,needs_childcare,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes
0,False,1,0,0,10074.0,3301.1418599999997,10654.17222,6297.27984,4908.7970399999995,0.0,5527.42386
0,False,1,1,1,14052.0,4862.41512,11428.9863,9451.89108,6864.39222,10523.40966,6720.339840000001
0,False,1,2,1,14052.0,6875.38548,12297.1314,12606.5028,7655.906220000001,19424.6358,8182.69518
0,False,1,3,1,18672.0,9264.597300000001,12862.5426,15761.1132,10302.91662,22163.4732,11765.429759999999
0,False,1,4,1,18672.0,11403.773819999999,13552.5306,18915.7254,11119.67538,22163.4732,12011.578440000001
0,False,2,0,0,11850.0,6052.09404,12740.5272,12594.5592,6475.1382,0.0,6750.40026
0,False,2,1,1,14052.0,7529.89602,13510.4172,15749.1708,7912.39818,10523.40966,8342.55468
0,False,2,2,1,14052.0,9298.93722,14011.047,18903.7824,8559.27246,19424.6358,8870.0706
0,False,2,3,1,18672.0,11414.77152,14719.605599999999,22058.394,11123.87406,22163.4732,11144.25402
0,False,2,4,1,18672.0,14017.1784,14686.0482,25213.004399999998,12087.555359999998,22163.4732,10920.30834
0,True,1,0,0,10296.0,3227.59128,10703.91132,6080.37996,4884.45372,0.0,5433.0546
0,True,1,1,1,14640.0,4754.07864,11578.20192,9119.24412,7027.23924,12327.9144,7084.06272
0,True,1,2,1,14640.0,6722.19876,12524.8608,12158.1096,7740.36696,23881.6104,9714.99972
0,True,1,3,1,20952.0,9058.17852,13717.2828,15196.9728,10873.87056,27436.5936,14390.328
0,True,1,4,1,20952.0,11149.69332,14243.118,18235.8384,11631.70968,27436.5936,14489.8752
0,True,2,0,0,11112.0,5917.251,13069.7268,12160.7604,6170.3694,0.0,6491.96124
0,True,2,1,1,14640.0,7362.12672,13965.9516,15199.6248,7972.2378,12327.9144,8651.82792
0,True,2,2,1,14640.0,9091.75416,15203.3676,18238.488,8598.95064,23881.6104,10147.6956
0,True,2,3,1,20952.0,11160.44532,15658.338,21277.3536,11635.60548,27436.5936,13330.5864
0,True,2,4,1,20952.0,13704.87,15995.4,24316.2192,12557.55,27436.5936,13425.3444
1,False,1,0,0,5748.0,3262.97718,11149.54578,5686.79004,3275.01948,0.0,5497.692419999999
1,False,1,1,1,7608.0,4808.83518,11802.74118,8495.9568,4511.31156,4929.46506,5501.30472
1,False,1,2,1,7608.0,7045.7472,12441.535800000001,11305.12356,5321.80704,11843.43822,6366.234420000001
1,False,1,3,1,10284.0,9399.338039999999,12900.3942,14114.2908,7132.00854,13970.814,8074.593779999999
1,False,1,4,1,10284.0,11505.4248,13088.226,16923.4572,7897.55382,13970.814,7927.304819999999
1,False,2,0,0,6348.0,5982.12504,12963.559799999999,11373.58008,4447.91634,0.0,6815.077859999999
1,False,2,1,1,7608.0,7445.35692,13603.92,14182.746,5467.2912,4929.46506,7464.2676599999995
1,False,2,2,1,7608.0,9429.38376,14015.252400000001,16991.9136,6189.61152,11843.43822,8169.906
1,False,2,3,1,10284.0,11512.56078,14234.6136,19801.0812,7900.14732,13970.814,9165.89058
1,False,2,4,1,10284.0,14088.615,14411.281200000001,22610.2476,8823.338039999999,13970.814,8778.12084
1,True,1,0,0,6941.51592,3299.28996,10731.65256,5737.47984,3695.61072,0.0,5734.00596
1,True,1,1,1,8886.84084,4862.3514,11522.93844,8659.5564,4959.71304,5192.06292,6001.4766
1,True,1,2,1,8886.84084,7124.15772,12468.6348,11581.6326,5768.94612,13364.5212,7366.8948
1,True,1,3,1,11686.875,9503.94072,13174.3524,14503.7076,7647.78732,15879.1236,9983.406
1,True,1,4,1,11686.875,11633.46612,13736.2764,17425.7856,8433.95724,15879.1236,10209.69504
1,True,2,0,0,7500.0,6048.69876,12838.26,11474.95968,4888.5516,0.0,7282.78488
1,True,2,1,1,8886.84084,7528.21368,13604.946,14397.0372,5913.51012,5192.06292,8047.49196
1,True,2,2,1,8886.84084,9534.32148,14392.3272,17319.1128,6631.25832,13364.5212,9233.33568
1,True,2,3,1,11686.875,11640.68184,14906.6724,20241.1872,8436.62112,15879.1236,10694.61696
1,True,2,4,1,11686.875,14245.4028,14927.6016,23163.2652,9380.08452,15879.1236,10747.83624
2,False,1,0,0,5748.0,2998.41132,11247.69072,4846.79004,3176.68836,0.0,5055.2988
2,False,1,1,1,7848.0,4418.92968,11818.73076,7238.58624,4466.95344,4866.62076,4731.45708
2,False,1,2,1,7848.0,6474.471,12488.7804,9630.38232,5213.94804,9120.18756,4757.7264
2,False,1,3,1,10416.0,8637.2292,12886.5,12022.1772,6886.17924,10428.97776,5674.21104
2,False,1,4,1,10416.0,10572.55296,13205.7888,14413.9752,7579.73736,10428.97776,5159.9766
2,False,2,0,0,6120.0,5497.08804,13084.626,9693.58008,4222.93032,0.0,5448.12492
2,False,2,1,1,7848.0,6841.67868,13708.3608,12085.3764,5348.38368,4866.62076,6055.54284
